title,viewCount,likeCount,commentCount,publishedAt
NiziU 2nd Single『Take a picture／Poppin’ Shakin’』 Information Video,795107,21068,848,2021-03-30T02:00:00Z
NiziU “Take a picture” MV Solo Teaser 「NINA」,837111,33491,1558,2021-03-27T15:01:00Z
NiziU “Take a picture” MV Solo Teaser 「MIIHI」,1308697,47939,1916,2021-03-26T15:00:19Z
NiziU “Take a picture” MV Solo Teaser 「RIMA」,966104,35785,1818,2021-03-25T15:00:19Z
NiziU “Take a picture” MV Solo Teaser 「MAYUKA」,947045,35614,1898,2021-03-24T15:00:03Z
NiziU “Take a picture” MV Solo Teaser 「AYAKA」,984494,34720,1682,2021-03-23T15:00:30Z
NiziU “Take a picture” MV Solo Teaser 「RIKU」,811763,30086,1296,2021-03-22T15:00:20Z
NiziU “Take a picture” MV Solo Teaser 「MAYA」,888977,34042,1733,2021-03-21T15:00:18Z
NiziU “Take a picture” MV Solo Teaser 「RIO」,803749,32823,1153,2021-03-20T15:00:08Z
NiziUxCoca-Cola Making Movie,2300535,42305,2766,2021-03-20T13:00:35Z
NiziU “Take a picture” MV Solo Teaser 「MAKO」,1079323,40457,10688,2021-03-19T15:00:17Z
NiziUxFit's Making Movie,593420,20197,1763,2021-03-14T11:00:01Z
NiziUxH&M Making Movie,679586,22116,1621,2021-03-02T11:00:07Z
NiziU×KOSÉ Making Movie,720015,24430,1804,2021-02-20T11:00:01Z
NiziU 『Step and a step』 MV Making Movie,2047253,46729,2367,2021-01-23T01:00:01Z
"Thanks to WithU 2020, We make U happy 2021",1342971,38106,1412,2021-01-20T11:00:26Z
NiziU “We need U 2021”,1069280,36107,2149,2021-01-19T15:00:00Z
NiziU 『Step and a step』 featuring guide Video,2149842,41370,2250,2020-12-20T03:00:26Z
[We NiziU!~We need U!~] #5,269946,11513,898,2020-12-18T11:00:17Z
NiziU「Step and a step」M/V hits 50M views,845773,22363,1054,2020-12-18T03:41:24Z
[We NiziU!~We need U!~] #4,214063,10972,740,2020-12-11T11:00:19Z
[We NiziU!~We need U!~] #3,316446,12818,1032,2020-12-04T11:00:02Z
NiziU 『Step and a step』 Jacket Making Movie,1185549,29654,966,2020-12-02T18:24:10Z
NiziU 『Step and a step』 Information Video,879965,25255,815,2020-12-01T13:00:21Z
[We NiziU!~We need U!~] #5 Highlights,845335,15677,552,2020-12-01T11:00:06Z
[We NiziU!~We need U!~] #2,417997,18330,1277,2020-11-27T11:00:31Z
[We NiziU!~We need U!~] #4 Highlights,563239,13475,403,2020-11-24T11:00:55Z
[NiziU LOG]  Q＆A Vlog,2674347,48448,2666,2020-11-20T13:00:31Z
[We NiziU!~We need U!~] #1,515238,25925,1562,2020-11-20T11:00:06Z
[We NiziU!~We need U!~] #3 Highlights,1071780,19637,729,2020-11-17T11:00:17Z
[We NiziU!~We need U!~] #2 Highlights,1088368,24756,703,2020-11-10T11:00:04Z
[We NiziU!~We need U!~] #1 Highlights,1097296,27087,872,2020-11-03T11:00:13Z
[We NiziU!~We need U!~] Teaser2,1957466,42447,1615,2020-10-29T11:00:24Z
[We NiziU!~We need U!~] Teaser1,2396321,58071,1679,2020-10-27T02:00:03Z
NiziU SEASON’S GREETINGS 2021“ENTRANCE” DIGEST,1383597,49999,1805,2020-10-15T13:00:03Z
[NiziU LOG] #1 SUMMER Vlog,6210322,131406,8909,2020-09-21T11:02:38Z
NiziU「Baby I'm a star」Dance Performance Video,31047325,284936,17662,2020-08-29T09:00:22Z
NiziU「Make you happy」Dance Performance Video,16874194,240110,8218,2020-08-22T09:00:01Z
"NiziU ""Dance The Night Away -Japanese ver.- (TWICE)"" DANCE COVER",24367685,352853,16852,2020-08-01T02:00:00Z
NiziU 「Make you happy」M/V MAKING FILM,2680783,74951,2715,2020-07-30T09:00:05Z
NiziU NINA「Make you happy」M/V MAKING FILM,869033,36156,1703,2020-07-29T09:00:11Z
NiziU MIIHI「Make you happy」M/V MAKING FILM,1233236,44963,1823,2020-07-28T09:00:01Z
NiziU RIMA「Make you happy」M/V MAKING FILM,1140512,41291,1564,2020-07-27T09:00:03Z
[Nizi Project] Part 2 #10-2,6296048,46981,3698,2020-07-24T10:00:40Z
