title,viewCount,likeCount,dislikeCount,commentCount,publishedAt
NiziU(니쥬) 1st Album 「Chopstick」 MV,12932713,356922,9905,30793,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12965297,357018,9910,30818,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13001709,357223,9921,30868,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13028276,357363,9925,30933,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13034387,357469,9929,30947,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13054670,357661,9939,30989,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13072538,357820,9944,31021,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13096891,357935,9948,31040,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13097350,358070,9956,31078,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13118348,358392,9977,31147,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13160184,358759,9989,31190,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13201809,359108,10005,31296,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13227683,359278,10007,31324,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13253856,359398,10015,31351,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13297672,359662,10025,31395,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13319207,359789,10031,31419,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13334258,359890,10035,31432,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13359075,359991,10039,31449,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13377484,360184,10033,31479,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13407585,360318,10037,31489,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13425642,360391,10038,31499,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13467757,360612,10051,31562,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13500234,360728,10051,31574,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13524477,360835,10049,31586,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13532282,360878,10051,31591,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13543629,360928,10057,31593,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13563180,361007,10057,31590,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13573620,361059,10058,31599,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13581424,361082,10060,31603,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13589720,361134,10064,31613,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13594283,361156,10066,31615,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13597056,361176,10065,31614,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13600026,361191,10068,31614,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13608243,361242,10067,31616,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13612165,361270,10067,31626,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13615761,361300,10068,31626,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13618545,361335,10072,31628,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13621091,361373,10071,31634,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13623843,361410,10072,31644,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13627597,361460,10075,31643,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13632406,361536,10081,31670,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13637000,361608,10085,31694,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13639948,361655,10086,31701,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13644234,361712,10090,31719,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13652785,361825,10097,31737,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13660379,361897,10098,31747,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13666280,361945,10101,31758,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13701345,362148,10118,31807,2021-11-10T15:00:13Z
