title,viewCount,likeCount,dislikeCount,commentCount,publishedAt
[Nizi Project] Part 2 #7-2,5761639,33348,861,1800,2020-07-03T10:00:48Z
[Nizi Project] Part 2 #7-1,2705340,18453,351,670,2020-07-03T10:00:33Z
NiziU 『Make you happy』 M/V Teaser 1,4488041,169665,3290,6843,2020-06-29T02:00:41Z
[Nizi Project] Whisper Challenge,1070535,33120,328,1697,2020-06-27T09:00:03Z
[Nizi Project] Part 2 #6-1,3358424,19189,414,901,2020-06-26T10:00:13Z
[Nizi Project] Part 2 #6-2,3169970,17786,505,869,2020-06-26T10:00:26Z
[Nizi Project] Part 2 #10 Highlights,2026634,16466,396,1682,2020-06-23T05:00:04Z
[Nizi Project] Mission1 My Best Friend,1628358,25954,227,1421,2020-06-20T03:00:02Z
[Nizi Project] Part 2 #5-1,4235370,18971,463,1408,2020-06-19T10:00:06Z
[Nizi Project] Part 2 #5-2,4060505,23141,527,1273,2020-06-19T10:00:24Z
Stray kids cheers for Nizi Project,359878,15063,106,291,2020-06-18T02:00:40Z
WOOYOUNG cheers for Nizi Project,202927,4802,47,184,2020-06-18T02:00:05Z
TWICE cheers for Nizi Project,912700,35495,226,796,2020-06-18T02:00:31Z
[Nizi Project] Part 2 #9 Highlights,1194363,11672,214,1068,2020-06-16T05:00:03Z
[Nizi Project] Who’s your mama? (feat. Jessi)/J.Y. Park,3038583,61328,866,4304,2020-06-13T09:00:08Z
[Nizi Project] Part 2 #4-2,5576514,32274,663,1782,2020-06-12T10:01:30Z
[Nizi Project] Part 2 #4-1,3401680,15703,340,613,2020-06-12T10:00:31Z
[Nizi Project] Part 2 #8 Highlights,433113,3382,39,300,2020-06-09T05:00:05Z
[Nizi Project] Part 2 #3-1,3599547,17057,430,654,2020-06-05T10:00:27Z
[Nizi Project] Part 2 #3-2,4553293,24385,627,1310,2020-06-05T10:00:22Z
[Nizi Project] JYP‘s Basic Dance Moves,1124082,24153,162,922,2020-06-04T09:00:21Z
[Nizi Project] Part 2 #7 Highlights,1486947,12873,312,953,2020-06-02T05:00:02Z
[Nizi Project] Part 2 #2-2,3757792,21194,441,1039,2020-05-29T10:00:31Z
[Nizi Project] Part 2 #2-1,4629367,24712,507,1171,2020-05-29T10:00:10Z
[Nizi Project] Part 2 #6 Highlights,599353,5660,268,305,2020-05-26T05:00:07Z
[Nizi Project] Part 2 #1-2,6793273,44792,1177,1755,2020-05-22T10:00:48Z
[Nizi Project] Part 2 #1-1,4073940,23957,463,1168,2020-05-22T10:00:01Z
[Nizi Project] Part 2 #5 Highlights,877657,5533,224,479,2020-05-19T05:00:02Z
[Nizi Project] Part 2 Teaser2,227088,3708,31,189,2020-05-18T05:00:06Z
[Nizi Project] Part 2 #4 Highlights,1124427,8707,318,585,2020-05-12T05:00:17Z
[Nizi Project] Part 2 #3 Highlights,297177,3031,27,134,2020-05-05T05:00:00Z
[Nizi Project] Part 2 #2 Highlights,337996,3853,34,203,2020-04-28T05:00:13Z
[Nizi Project] Part 2 #1 Highlights,459067,7097,78,426,2020-04-21T05:00:27Z
[Nizi Project] Part 2 Teaser,851639,19723,196,2216,2020-04-10T02:00:10Z
